,participant,generated_question,evaluation_question,section_id,answer,section_question_id,evaluation_question_id
0,eaol09,What is a conversion factor ?,Could you understand what the question is asking?,232,1,232What is a conversion factor ?,1
1,eaol09,What is a conversion factor ?,Is the question related to the given text?,232,1,232What is a conversion factor ?,2
2,eaol09,What is a conversion factor ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",232,2,232What is a conversion factor ?,3
3,eaol09,What is a conversion factor ?,Is it clear what the question asks for?,232,1,232What is a conversion factor ?,4
4,eaol09,What is a conversion factor ?,Could you rephrase the question to make it clearer and/or error-free?,232,1,232What is a conversion factor ?,5
5,eaol09,What is a conversion factor ?,Are students reading the text probably able to answer the question?,232,1,232What is a conversion factor ?,6
6,eaol09,What is a conversion factor ?,Which kind of information is needed to answer the question?,232,1,232What is a conversion factor ?,7
7,eaol09,What is a conversion factor ?,Do you think being able to answer the question is important to work on the topic covered by the text?,232,1,232What is a conversion factor ?,8
8,eaol09,What is a conversion factor ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",232,1,232What is a conversion factor ?,9
9,eaol09,What is estimation ?,Could you understand what the question is asking?,238,1,238What is estimation ?,1
10,eaol09,What is estimation ?,Is the question related to the given text?,238,1,238What is estimation ?,2
11,eaol09,What is estimation ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",238,2,238What is estimation ?,3
12,eaol09,What is estimation ?,Is it clear what the question asks for?,238,1,238What is estimation ?,4
13,eaol09,What is estimation ?,Could you rephrase the question to make it clearer and/or error-free?,238,1,238What is estimation ?,5
14,eaol09,What is estimation ?,Are students reading the text probably able to answer the question?,238,1,238What is estimation ?,6
15,eaol09,What is estimation ?,Which kind of information is needed to answer the question?,238,2,238What is estimation ?,7
16,eaol09,What is estimation ?,Do you think being able to answer the question is important to work on the topic covered by the text?,238,1,238What is estimation ?,8
17,eaol09,What is estimation ?,"If you were a teacher working with that text in class, do you think you would use this question or your rephrasal of the question?",238,1,238What is estimation ?,9
18,eaol09,What is the main focus of symbolic interactionism ?,Could you understand what the question is asking?,234,1,234What is the main focus of symbolic interactionism ?,1
19,eaol09,What is the main focus of symbolic interactionism ?,Is the question related to the given text?,234,1,234What is the main focus of symbolic interactionism ?,2
20,eaol09,What is the main focus of symbolic interactionism ?,"Is the question grammatically well-formed, i.e. is it free of language errors?",234,1,234What is the main focus of symbolic interactionism ?,3
21,eaol09,What is the main focus of symbolic interactionism ?,Is it clear what the question asks for?,234,1,234What is the main focus of symbolic interactionism ?,4
